"name","id","properties"
"ActionGroup","ActionGroup","@{changeNumber=5; region=; regionId=0; platform=Azure; systemService=ActionGroup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApplicationInsightsAvailability","ApplicationInsightsAvailability","@{changeNumber=2; region=; regionId=0; platform=Azure; systemService=ApplicationInsightsAvailability; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AzureActiveDirectory","AzureActiveDirectory","@{changeNumber=5; region=; regionId=0; platform=Azure; systemService=AzureAD; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AzureAdvancedThreatProtection","AzureAdvancedThreatProtection","@{changeNumber=4; region=; regionId=0; platform=Azure; systemService=AzureAdvancedThreatProtection; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"ApiManagement","ApiManagement","@{changeNumber=6; region=; regionId=0; platform=Azure; systemService=AzureApiManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AppConfiguration","AppConfiguration","@{changeNumber=8; region=; regionId=0; platform=Azure; systemService=AzureAppConfiguration; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AppService","AppService","@{changeNumber=11; region=; regionId=0; platform=Azure; systemService=AzureAppService; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AppServiceManagement","AppServiceManagement","@{changeNumber=8; region=; regionId=0; platform=Azure; systemService=AzureAppServiceManagement; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"GuestAndHybridManagement","GuestAndHybridManagement","@{changeNumber=7; region=; regionId=0; platform=Azure; systemService=AzureAutomation; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AzureBackup","AzureBackup","@{changeNumber=8; region=; regionId=0; platform=Azure; systemService=AzureBackup; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
"AzureBotService","AzureBotService","@{changeNumber=4; region=; regionId=0; platform=Azure; systemService=AzureBotService; addressPrefixes=System.Object[]; networkFeatures=System.Object[]}"
